Name,Amount Needed,City,Region
Apple,25,"Whitehorse, YT",Canada West
Apple,25,"Yorkton, SK",Canada Center
Apple,50,"Olympia, WA",USA West
Apple,50,"Topeka, KS",USA South
Apple,150,Total Amound,
BBQ Rib,50,"Columbia, SC",USA South
BBQ Rib,150,"Kingston, ON",Canada East
BBQ Rib,"1,000","New York, NY",USA East
BBQ Rib,"1,200",Total Amound,
Bonbon,25,"Kiev, UA",Europe North
Bonbon,150,"Valleta, MT",Europe South
Bonbon,150,"Vienna, AT",Europe East
Bonbon,325,Total Amound,
Candle,50,"Helsinki, FI",Europe North
Candle,50,"Tirana, AL",Europe South
Candle,"1,000","Barcelona, ES",Europe South
Candle,"1,000","Copenhagen, DK",Europe North
Candle,"2,100",Total Amound,
Carrot,50,"Billings, MT",USA Center
Carrot,50,"Cheyenne, WY",USA Center
Carrot,50,"Belfast, UK",Europe West
Carrot,350,"Chicago, IL",USA Center
Carrot,500,Total Amound,
Casino Chip,25,"Skopje, MK",Europe South
Casino Chip,50,"Bilbao, ES",Europe South
Casino Chip,350,"Madrid, ES",Europe South
Casino Chip,"1,000","Monaco, FR",Europe South
Casino Chip,"1,425",Total Amound,
Chicken,50,"Fredericton, NB",Canada East
Chicken,150,"Denver, CO",USA West
Chicken,150,"Oklahoma City, OK",USA South
Chicken,150,"Brussels, BE",Europe West
Chicken,"1,000","Philadelphia, PA",USA East
Chicken,"1,500",Total Amound,
Copper,50,"Bismarck, ND",USA Center
Copper,50,"El Paso, TX",USA West
Copper,150,"Miami, FL",USA South
Copper,350,"St. John's, NL",Canada East
Copper,600,Total Amound,
Corn,25,"Dover, DE",USA East
Corn,25,"Montpelier, VT",USA East
Corn,50,"Hazelton, BC",Canada West
Corn,350,"Detroit, MI",USA East
Corn,"1,000","New Orleans, LA",USA South
Corn,"1,450",Total Amound,
Cow,25,"Kennewick, WA",USA West
Cow,150,"Pittsburgh, PA",USA East
Cow,150,"Budapest, HU",Europe East
Cow,350,"Nashville, TN",USA South
Cow,675,Total Amound,
Firework,25,"The Pas, MB",Canada Center
Firework,150,"Atlanta, GA",USA South
Firework,350,"Calgary, AB",Canada West
Firework,"1,000","Montreal, QC",Canada East
Firework,"1,525",Total Amound,
Hockey Stick,25,"Galesburg, IL",USA Center
Hockey Stick,50,"Atlanta, GA",USA Center
